station_numbers,station_names,station_addresses,station_pos,station_capacities,status
232,NARBONNE - MIROUSE,73 RTE DE NARBONNE,"(1.456292, 43.569089)",15,OPEN
233,NARBONNE - SAHUQUE,FACE 88 RTE DE NARBONNE STATION ESSO,"(1.458648, 43.566528)",20,OPEN
234,LOUIN - RAYNAL,50M APRES 4 RUE PIERRETTE LOUIN,"(1.451413, 43.628145)",15,OPEN
235,METRO LAVACHE - VERLAINE,FACE AU 8 RUE PAUL VERLAINE,"(1.435519, 43.633454)",19,OPEN
236,TOEC - LEMIRE,RUE DE L'ABBE JULES LEMIRE ANGLE VOIE DU TOEC,"(1.403694, 43.597322)",20,OPEN
237,CNRS,16 BIS AV EDOUARD BELIN FACE CNRS,"(1.480912, 43.562273)",20,OPEN
238,HERBETTES - BUTTE,FACE 48/58 CHEMIN DE LA BUTTE,"(1.47313, 43.579341)",17,OPEN
239,LESPINET - HERBETTES,ANGLE AVENUE DE LESPINET ET RUE GEORGES BIDAULT,"(1.470245, 43.576637)",25,OPEN
240,PLACE JOB - RTE DE BLAGNAC,FACE 103 BIS ROUTE DE BLAGNAC,"(1.408383, 43.616945)",18,CLOSED
241,ESPAGNE - CHARPENTIER,57 RTE D'ESPAGNE,"(1.424227, 43.575101)",20,OPEN
242, RAIMBAUD - COLETTE,RUE RAIMBAUD ANGLE RUE COLETTE,"(1.437609, 43.633734)",16,OPEN
243,ETATS-UNIS - FERRY,FACE 97 AV DES ETATS-UNIS ANGLE JULES FERRY,"(1.431732, 43.632734)",17,OPEN
244,RENAN - VITRY,93 RUE ERNEST RENAN ANGLE RUE VITRY,"(1.443828, 43.635856)",18,OPEN
245,GRANDE-BRETAGNE - BADIOU,103 BIS AV DE GRANDE BRETAGNE ANGLE RUE BADIOU,"(1.415372, 43.599732)",20,OPEN
246,WAGNER - BRUNHES,29 BD RICHARD WAGNER ANGLE BD JEAN BRUNHES,"(1.420002, 43.603842)",20,OPEN
247,LAUNAGUET - AUDIBERT,FACE 112 RTE DE LAUNAGUET,"(1.438984, 43.636446)",18,OPEN
248,BOUQUETINS - ROSTAND,RUE DES BOUQUETINS ANGLE RUE EDMOND ROSTAND,"(1.448524, 43.641013)",20,OPEN
249,CROIX-DAURADE,147 RTE D'ALBI,"(1.464879, 43.637842)",19,OPEN
250,11 NOVEMBRE,RUE DU 11 NOVEMBRE FACE 45 RUE DU 14 JUILLET,"(1.414659, 43.593052)",18,OPEN
251,BLUM - JOUHAUX,26 AV LEON BLUM ANGLE RUE LEON JOUHAUX,"(1.461721, 43.61432)",15,OPEN
